date,description,amount,merchant
2024-05-22,Fuel,-37.00,Gas Station
2024-05-25,Mobile,-45.00,Telco Co
2024-05-27,Salary,5000.00,Employer
2024-05-28,Utilities,-87.00,City Utilities
2024-05-15,Home Insurance,-120.00,Home Insurance Co
2024-05-15,Car Insurance,-90.00,Auto Insurance Co

2024-06-01,Rent,-1200.00,Landlord
2024-06-05,Groceries,-90.00,Market
2024-06-07,Subscription,-9.99,SaaS App
2024-06-08,Fuel,-40.00,Gas Station
2024-06-09,Gym,-40.00,FitClub
2024-06-10,Streaming,-12.99,StreamCo
2024-06-12,Internet,-60.00,ISP Co
2024-06-14,Dining,-31.20,Burger Spot
2024-06-16,Entertainment,-50.00,Cinema
2024-06-18,Transport,-20.00,Metro
2024-06-20,Groceries,-95.80,Market
2024-06-22,Fuel,-34.00,Gas Station
2024-06-25,Mobile,-45.00,Telco Co
2024-06-27,Salary,5000.00,Employer
2024-06-28,Utilities,-89.00,City Utilities
2024-06-15,Home Insurance,-120.00,Home Insurance Co
2024-06-15,Car Insurance,-90.00,Auto Insurance Co
2024-06-05,Household,-35.50,Hardware Store

2024-07-01,Rent,-1200.00,Landlord
2024-07-05,Groceries,-92.50,Market
2024-07-07,Subscription,-9.99,SaaS App
2024-07-08,Fuel,-46.00,Gas Station
2024-07-09,Gym,-40.00,FitClub
2024-07-10,Streaming,-12.99,StreamCo
2024-07-12,Internet,-60.00,ISP Co
2024-07-14,Dining,-27.00,Sushi Place
2024-07-20,Groceries,-105.60,Market
2024-07-22,Fuel,-36.00,Gas Station
2024-07-25,Mobile,-45.00,Telco Co
2024-07-27,Salary,5000.00,Employer
2024-07-28,Utilities,-91.00,City Utilities
2024-07-15,Home Insurance,-120.00,Home Insurance Co
2024-07-15,Car Insurance,-90.00,Auto Insurance Co

2024-08-01,Rent,-1200.00,Landlord
2024-08-05,Groceries,-94.00,Market
2024-08-07,Subscription,-9.99,SaaS App
2024-08-08,Fuel,-44.00,Gas Station
2024-08-09,Gym,-40.00,FitClub
2024-08-10,Streaming,-12.99,StreamCo
2024-08-12,Internet,-60.00,ISP Co
2024-08-14,Dining,-33.50,Burger Spot
2024-08-15,Flight,-350.00,Airline
2024-08-16,Hotel,-500.00,Hotel
2024-08-17,Ride Share,-35.00,RideNow
2024-08-20,Groceries,-108.30,Market
2024-08-22,Fuel,-38.00,Gas Station
2024-08-25,Mobile,-45.00,Telco Co
2024-08-27,Salary,5000.00,Employer
2024-08-28,Utilities,-93.00,City Utilities
2024-08-15,Home Insurance,-120.00,Home Insurance Co
2024-08-15,Car Insurance,-90.00,Auto Insurance Co

2024-09-01,Rent,-1200.00,Landlord
2024-09-05,Groceries,-88.75,Market
2024-09-07,Subscription,-9.99,SaaS App
2024-09-08,Fuel,-42.00,Gas Station
2024-09-09,Gym,-40.00,FitClub
2024-09-10,Streaming,-12.99,StreamCo
2024-09-12,Internet,-60.00,ISP Co
2024-09-14,Dining,-30.00,Sushi Place
2024-09-16,Entertainment,-50.00,Cinema
2024-09-20,Groceries,-97.20,Market
2024-09-22,Fuel,-33.00,Gas Station
2024-09-25,Mobile,-45.00,Telco Co
2024-09-27,Salary,5000.00,Employer
2024-09-28,Utilities,-86.00,City Utilities
2024-09-15,Home Insurance,-120.00,Home Insurance Co
2024-09-15,Car Insurance,-90.00,Auto Insurance Co
2024-09-05,Household,-35.50,Hardware Store

2024-10-01,Rent,-1200.00,Landlord
2024-10-05,Groceries,-90.00,Market
2024-10-07,Subscription,-9.99,SaaS App
2024-10-08,Fuel,-45.00,Gas Station
2024-10-09,Gym,-40.00,FitClub
2024-10-10,Streaming,-12.99,StreamCo
2024-10-12,Internet,-60.00,ISP Co
2024-10-14,Dining,-26.50,Burger Spot
2024-10-16,Entertainment,-50.00,Cinema
2024-10-18,Transport,-20.00,Metro
2024-10-20,Groceries,-104.00,Market
2024-10-22,Fuel,-35.00,Gas Station
2024-10-25,Mobile,-45.00,Telco Co
2024-10-27,Salary,5000.00,Employer
2024-10-28,Utilities,-88.00,City Utilities
2024-10-15,Home Insurance,-120.00,Home Insurance Co
2024-10-15,Car Insurance,-90.00,Auto Insurance Co

2024-11-01,Rent,-1200.00,Landlord
2024-11-05,Groceries,-92.00,Market
2024-11-07,Subscription,-9.99,SaaS App
2024-11-08,Fuel,-43.00,Gas Station
2024-11-09,Gym,-40.00,FitClub
2024-11-10,Streaming,-12.99,StreamCo
2024-11-12,Internet,-60.00,ISP Co
2024-11-14,Dining,-34.20,Sushi Place
2024-11-20,Groceries,-101.50,Market
2024-11-22,Fuel,-36.00,Gas Station
2024-11-25,Mobile,-45.00,Telco Co
2024-11-27,Salary,5000.00,Employer
2024-11-28,Utilities,-90.00,City Utilities
2024-11-15,Home Insurance,-120.00,Home Insurance Co
2024-11-15,Car Insurance,-90.00,Auto Insurance Co

2024-12-01,Rent,-1200.00,Landlord
2024-12-05,Groceries,-120.00,Market
2024-12-07,Subscription,-9.99,SaaS App
2024-12-08,Fuel,-48.00,Gas Station
2024-12-09,Gym,-40.00,FitClub
2024-12-10,Streaming,-12.99,StreamCo
2024-12-12,Internet,-60.00,ISP Co
2024-12-14,Dining,-45.00,Burger Spot
2024-12-16,Entertainment,-50.00,Cinema
2024-12-18,Transport,-20.00,Metro
2024-12-20,Gift,-200.00,Gift Shop
2024-12-20,Groceries,-130.75,Market
2024-12-22,Fuel,-40.00,Gas Station
2024-12-25,Mobile,-45.00,Telco Co
2024-12-27,Salary,5000.00,Employer
2024-12-28,Utilities,-95.00,City Utilities
2024-12-15,Home Insurance,-120.00,Home Insurance Co
2024-12-15,Car Insurance,-90.00,Auto Insurance Co
2024-12-05,Household,-35.50,Hardware Store
